chapter_title,chapter_desc_heading,chapter_intro,chapter_no
1. Arjun Viṣhād Yog,Lamenting the Consequences of War,"The Bhagavad Gita, or the song of God, was revealed by Lord Shree Krishna to Arjun on the threshold of the epic war of Mahabharata. A decisive battle between two sets of cousins, the Kauravas and the Pandavas, was just about to commence on the battlefield of Kurukshetra. A detailed account of the reasons that led to such a colossal war; is given under Introduction-The Setting of the Bhagavad Gita.The Bhagavad Gita is primarily a conversation between Lord Shree Krishna and Arjun. However, the first chapter begins with a dialogue between King Dhritarashtra and his minister Sanjay. Dhritarashtra being blind, could not leave his palace in Hastinapur but was eager to know the ongoings of the battlefield.Sanjay was a disciple of Sage Ved Vyas, the author of the epic Mahabharata and several other Hindu scriptures. Sage Ved Vyas possessed a mystic ability to see and hear events occurring in distant places. He had bestowed upon Sanjay the miraculous power of distant vision. Therefore, Sanjay could see and hear, what transpired on the battleground of Kurukshetra, and gave a first-hand account to King Dhritarashtra while still being in his palace.",1
2. Sānkhya Yog,The Yog of Analytical Knowledge,"In this chapter, Arjun reiterates to Shree Krishna that he is unable to cope with his current situation, where he has to kill his elders and teachers. He refuses to take part in such a battle and requests Shree Krishna to be his spiritual teacher and guide him on the proper path of action. Then the Supreme Lord starts imparting divine knowledge to Arjun. He begins with the immortal-nature of the soul, which is eternal and imperishable. Death only destroys the physical body, but the soul continues its journey.  Just as a person discards his old clothes and adorns new ones, the soul keeps changing bodies from one lifetime to another.The Lord then reminds Arjun that his social responsibility as a warrior is to fight for upholding righteousness. He explains that performing one’s social duty is a virtuous act that can take him to the celestial abodes, while dereliction only leads to infamy and humiliation.At first, Shree Krishna tries to motivate Arjun at a mundane level. Then he moves deeper and starts explaining to Arjun the Science of Work. He asks Arjun to perform his deeds without any attachment to their fruits. This science of working without desire for rewards is called the yog of the intellect or buddhi-yog. He further advises that the intellect should be used to control the desire for rewards from work. By working with such intent, the bondage-creating karmas get transformed into bondage-breaking karmas and a state beyond sorrows can be attained.Arjun is curious to know more about those who are situated in divine consciousness. Shree Krishna, therefore, describes how persons who have attained transcendence are free from attachment, fear, and anger. They are undisturbed and equipoised in every situation. With their senses subdued, they keep their minds always absorbed in God. He also explains the progression of afflictions of the mind—such as greed, anger, lust, etc. and advises how these can be overcome.",2
3. Karm Yog,The Yog of Action,"Shree Krishna expounds on karm yog or the yog of action in this chapter. He explains to Arjun that nobody can remain without action, even for a moment. Bound by their inherent modes of nature, all beings are always engaged in some work. Superior are those who practice karm yog and continue to work diligently to fulfill their responsibilities externally, but internally they are unattached to them. However, the hypocrites display external renunciation but internally dwell upon the objects of their senses.Shree Krishna says that all living beings are an integral part of God’s creation and have roles and responsibilities to fulfill. Vedas prescribe performing yajña to please the celestial gods, who in-return bestow material gains. These yajñas cause rains to fall, which aids in the production of food grains for the sustenance of life on earth. Those who live only for the delight of their senses and do not accept their responsibility in this cycle— are sinful and living in vain. However, Shree Krishna says that when works or prescribed duties are performed as an obligation to God, they are also considered yajña (sacrifice). He then explains that unlike the rest of humankind, the enlightened souls are not obliged to fulfill their bodily responsibilities. They are situated in knowledge of the self and execute higher responsibilities of the soul. However, they do not abandon their social duties, as it may create disharmony in the minds of the common people who look up to them for inspiration. Therefore, the wise continue to work without any personal motive only to set good examples for others to follow, else, the ignorant may abandon their prescribed duties prematurely. Shree Krishna mentions one such example of the enlightened King Janak, who performed his earthly duties as an ideal king and father.Arjun then asks Shree Krishna why people commit sin, even when unwilling, as if by some force. Lord Krishna explains that lust alone is the sinful all-devouring enemy. Similar to a fire that is covered by smoke or a mirror covered in dust, desire shrouds one’s knowledge and deludes the intellect. In the end, Shree Krishna advises Arjun that by controlling the senses, mind, and intellect—one can slay this enemy called desire, which is an embodiment of sin.",3
4. Jñāna Karm Sanyās Yog,The Yog of Knowledge and the Disciplines of Action,"To strengthen Arjun’s faith in the knowledge He is imparting, Shree Krishna reveals its pristine origin in this chapter. He says, “Arjun, as you are my devotee and a dear friend, I am revealing this supreme science of yog to you. It is the same eternal science that I taught to the Sun God at the beginning of time. And in a continuous tradition, the same knowledge; was passed to the saintly kings.” Arjun wonders how someone who is almost his age could exist so many eons ago. He asks Shree Krishna how is it possible that you gave this knowledge to the Sun God and the others so many years back in time.Shree Krishna clarifies Arjun’s doubts and discloses the divine mystery of His descension. He says that although God is unborn and eternal, it is to establish dharma (the path of righteousness) that He descends on this earth by His Yogmaya power. His birth and activities are divine and cannot get tainted by material imperfections. Once a devotee knows this secret and engages in devotion with great faith, he attains God and does not take birth in this world again.Then Shree Krishna goes back to karm yog, the subject from the previous chapter. He continues to explain the nature of work and its three principles: action, in-action, and forbidden action. He elaborates that the karm yogis, even while performing the most engaging task, are in the state of inaction and do not get entangled in the karmic reactions of such action. Knowing this: the ancient sages performed all their work as an act of sacrifice for the pleasure of God. They were not affected by happiness, distress, success, or failure. He explains that when sacrifice is suitably dedicated, performed with proper knowledge and pure sentiments, then its remnants become like nectar. And by partaking such nectar, the devotees are cleansed of all impurities. Even the biggest sinner can cross over the ocean of material miseries by boarding this boat of eternal knowledge.Shree Krishna says that such knowledge should be acquired only from a genuine spiritual master, who himself is God-realized. Being his Guru, Shree Krishna instructs Arjun to cut apart all doubts that have arisen in his heart with this sword of knowledge. He asks Arjun to now get up and perform his duty as a warrior.",4
5. Karm Sanyās Yog,The Yog of Renunciation,"In this chapter, Shree Krishna compares karm sanyās yog (the path of renunciation of actions) with karm yog (the path of work in devotion). He says: we can choose either of the two paths, as both lead to the same destination. However, he explains that the renunciation of actions is rather challenging and can only be performed flawlessly by those whose minds are adequately pure. Purification of the mind can be achieved only by working in devotion. Therefore, karm yog is a more appropriate path for the majority of humankind.The karm yogis with a purified intellect perform their worldly duties without any attachment to its fruit. They dedicate all their works and its results to God. Just as a lotus leaf that floats on water does not get wet, the karm yogis also remain unaffected by sin. They are aware that the soul resides within the body that is like a city with nine gates. Therefore, they do not consider themselves to be the doer nor the enjoyer of their actions. Endowed with the vision of equality, they look equally upon a Brahmin, a cow, an elephant, a dog, and a dog-eater. Seated in the Absolute Truth, such truly learned people develop flawless qualities similar to God. The ignorant worldly people do not realize that the pleasures they strive to relish from their sense objects are the very source of their misery. However, the karm yogis do not get any joy from such worldly pleasures. Instead, they enjoy the bliss of God, who resides inside them.Lord Shree Krishna then describes karm sanyās yog or the path of renunciation. He says that the karm sanyāsīs control their mind, intellect, and senses by performing several austerities. By shutting out all their thoughts of external pleasures, they become free from fear, desire, and anger. And by including devotion to God in all their austerities, they attain long-lasting peace.",5
6. Dhyān Yog,The Yog of Meditation,"Shree Krishna continues the comparative evaluation between karm yog (the practice of spirituality while performing worldly duties) and karm sanyas (the practice of spirituality in a renounced state) in this chapter. He reiterates that karm yog is a more practicable path than karm sanyas. When work is done with devotion, it purifies the mind and enhances the spiritual realization. The mind then becomes tranquil, and meditation becomes the primary means of elevation.The yogis strive to conquer the mind through meditation because, while a trained mind is the best friend, an untrained mind can be the worst enemy for a spiritual aspirant. Shree Krishna cautions Arjun that by merely engaging in severe austerities, one cannot progress on the spiritual path. Therefore, moderation must be maintained, even in basic necessities like food, sleep, work, recreation, etc.Shree Krishna then explains yog sādhanā or the spiritual practice for uniting the mind with God. He says, similar to a lamp that does not flicker in a windless place: a sādhak should practice keeping his mind steady in meditation. He agrees that it is difficult to restrain the mind, but it can be controlled by practice and detachment. Therefore, whenever it wanders away, one needs to bring it back and continue to focus on God. Then the mind gets purified and is established in transcendence or samādhi, which is a joyous state where one experiences infinite divine bliss.Arjun asks what happens to those spiritual aspirants who begin their journey, but due to an unsteady mind, they are unable to reach their goal. Shree Krishna reassures him that those who strive for God-realization are able to overcome evil. God keeps an account of all our accumulated spiritual merits from past lives and reawakens their wisdom in future births.  In this way, they can continue their journey from where they had left off. And with the help of their accrued merits from previous lives, in their present life, the yogis fast track towards God.The Lord then concludes this chapter with a declaration that the yogi (who strives to unite with God) is superior to the tapasvī (ascetic), the jñānī (person of learning), and the karmī (ritualistic performer). And highest among all the yogis is the one who engages in bhakti (loving devotion of God).",6
7. Jñāna Vijñāna Yog,Yog through the Realization of Divine Knowledge,"This chapter begins with Shree Krishna describing the material and spiritual dimensions of God’s energies. He explains that similar to beads strung on a single thread, all these energies have originated from Him and rest in Him. The entire creation begins and dissolves into Him. Although it is very difficult to overcome His material energy Maya, those who surrender to Him can easily cross over it by His grace.He then describes the four kinds of people who engage in His devotion and the other four who do not surrender to Him. He says that those devotees who worship Him in knowledge with their mind and intellect merged in Him, are dearest to Him. Yet, some are deluded by material desires and surrender to the celestial gods, who bestow upon them temporary material prosperity. However, these celestial gods also get their powers from the Supreme Lord. Therefore, the worthiest object of devotion is the Almighty God Himself.Shree Krishna further confirms that He is the ultimate truth and the highest authority. He possesses several divine attributes such as omnipotence, omnipresence, and omniscience. However, His divine Yogmaya power hides His imperishable nature and eternal divine form. Those devotees who surrender to Him and take His shelter receive the divine knowledge of the Supreme God, the self, and the entire field of the karmic actions.",7
8. Akṣhar Brahma Yog,The Yog of the Eternal God,"In this chapter, Shree Krishna briefly describes several significant concepts and terms that the Upanishads expound in detail. He also explains what decides the destination of the soul after death. He says that if we remember God at the time of death, we can definitely attain Him. Therefore, alongside doing our daily works, we must always practice thinking of God. We can do this by thinking of His Qualities, Attributes, Virtues, etc. A persistent yogic meditation upon God by chanting His Names is also a good practice. Through exclusive devotion, when our mind is perfectly absorbed in Him, we will elevate from the material dimension to the spiritual realm.Shree Krishna then talks about the various abodes in the material realm and the cycle of creation. He further explains how the multitudes of beings manifest on these abodes, and at the time of dissolution, everything absorbs back into Him. However, the divine Abode of God is untouched by this cycle of creation and dissolution. Those who progress on the path of light finally reach the divine abode and never return to the material world. Whereas those fallen souls who tread the path of darkness endlessly keep transmigrating in the cycle of birth, old age, sickness, and death.",8
9. Rāja Vidyā Yog,Yog through the King of Sciences,"In the two previous chapters, the Supreme Lord Shree Krishna declared that among all, bhakti is the highest, yet the simplest path of attaining Yog, or union with the Supreme. In this chapter, He reveals His supreme glories that inspire reverence, devotion, and awe. Although Shree Krishna stands in front of Arjun in His personal form, it should not be mistaken to possess human personality.At the beginning of creation, the Supreme Lord creates innumerable life-forms with His material energy. And at dissolution, He absorbs them back into Himself, and in the next cycle of creation, He manifests them again. Similar to the mighty winds that blow everywhere yet always stay within the sky, all living beings’ dwell within God. However, He remains ever aloof and detached from all these activities as a neutral observer by His divine Yogmaya power.To resolve the apparent confusion of the Hindu pantheon, Shree Krishna explains that there is only one God, who is the sole object of worship. For all living beings, He is the true friend, the support, refuge, and the final goal. Therefore, those souls who engage in exclusive devotion towards the Supreme Lord go to His abode and remain there. Those influenced by the ritualistic ceremonies described in the Vedas also attain the celestial abodes. However, when their merits are exhausted, they must return to earth.Saying this, Shree Krishna exalts the superiority of pure bhakti solely directed toward Him. Such a devotee lives in complete union with God’s will, doing everything for Him and offering everything to Him. Their pure devotion helps devotees attain the mystic union with God and releases them from the bondage of Karmas.Shree Krishna asserts that He is impartial towards all creatures; He neither favors nor rejects anyone. Even if despicable sinners come to His shelter, He accepts them willingly and very quickly makes them pure and virtuous. Shree Krishna then says that He is seated within His devotees and will not let them perish. He preserves what they possess and provides them what they lack. Hence, we should dedicate our mind and body to Him, worship Him, always think of Him, and make Him our supreme goal.",9
10. Vibhūti Yog,Yog through Appreciating the Infinite Opulences of God,"The previous chapter revealed the science of bhakti or loving devotion of God. In this chapter, Shree Krishna desires to increase Arjun’s bhakti by describing His infinite glories and opulence. The verses are not only pleasing to read but also enchanting to hear. He helps Arjun to meditate on God by reflecting upon His magnificence.Lord Krishna reveals that He is the source of all that exists. It is from His mind, the seven great sages, the four great saints, and the fourteen Manus were born. All the people of this world then descended from them. The various exceptional qualities in humans also arise from Him. Those devotees who know this engage in His devotion with great faith. They derive immense satisfaction by conversing about His glories and also help enlightening others about them. God dwells in the hearts of such devotees whose mind is always united in Him. He then bestows upon them His divine knowledge, through which they can attain God-realization.Arjun is now fully convinced that Shree Krishna is the Supreme Divine Personality and requests Him to describe further His divine glories, which are like divine nectar. Shree Krishna then discloses that everything that exists is a manifestation of His energies. He is the beginning, middle, and end of all. All beings and things get their splendor from Him. He is the powerhouse of magnificence and the infinite reservoir of knowledge, power, beauty, and glory. Whatever catches our imagination and infuses us with bliss is nothing but a tiny spark of His opulence.The rest of the chapter describes the personalities, objects, and activities that best display His magnificence. Shree Krishna finally says that the magnitude of His glory cannot be described in words, as within a fraction of His being, He upholds infinite universes. Since God is the source of all the splendor and glory, we must make Him the object of our devotion.",10
